Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
79,Exit long,2025-11-16 21:25,TP,93619.5,1.074097,100597.3472,-40.92,-0.04,152.95,0.15,-109.34,-0.11,6878.01,0.69
79,Entry long,2025-11-16 21:20,L77,93657.6,1.074097,100597.3472,-40.92,-0.04,152.95,0.15,-109.34,-0.11,6878.01,0.69
80,Exit long,2025-11-17 18:05,TP,92820.9,1.086439,100738.9698,105.28,0.10,193.39,0.19,-183.5,-0.18,6983.28,0.70
80,Entry long,2025-11-17 18:00,L78,92724,1.086439,100738.9698,105.28,0.10,193.39,0.19,-183.5,-0.18,6983.28,0.70
81,Exit long,2025-11-18 05:05,TP,89921.5,1.123426,101163.8372,-143.69,-0.14,73.14,0.07,-418.59,-0.41,6839.6,0.68
81,Entry long,2025-11-18 05:00,L79,90049.4,1.123426,101163.8372,-143.69,-0.14,73.14,0.07,-418.59,-0.41,6839.6,0.68
82,Exit long,2025-11-20 16:30,TP,88669.5,1.135211,100622.1515,36.44,0.04,474.06,0.47,-70.84,-0.07,6876.04,0.69
82,Entry long,2025-11-20 16:25,L80,88637.4,1.135211,100622.1515,36.44,0.04,474.06,0.47,-70.84,-0.07,6876.04,0.69
83,Exit long,2025-11-20 19:25,TP,86667.3,1.165628,100792.7857,229.05,0.23,440.49,0.44,-16.9,-0.02,7105.08,0.71
83,Entry long,2025-11-20 19:20,L81,86470.8,1.165628,100792.7857,229.05,0.23,440.49,0.44,-16.9,-0.02,7105.08,0.71
84,Exit long,2025-11-21 14:45,TP,84868.1,1.182384,98542.95676,1803.73,1.83,2256.11,2.29,-3242.81,-3.29,8908.81,0.89
84,Entry long,2025-11-21 07:35,L82,83342.6,1.182384,98542.95676,1803.73,1.83,2256.11,2.29,-3242.81,-3.29,8908.81,0.89
85,Exit long,2025-11-29 18:30,TP,90252.9,1.117931,100888.4656,8.05,0.01,41.81,0.04,-71.55,-0.07,8916.86,0.89
85,Entry long,2025-11-29 18:25,L83,90245.7,1.117931,100888.4656,8.05,0.01,41.81,0.04,-71.55,-0.07,8916.86,0.89
86,Exit long,2025-12-01 01:20,TP,87494.8,1.150255,100538.3834,102.95,0.10,354.97,0.35,-581.22,-0.58,9019.81,0.90
86,Entry long,2025-12-01 00:50,L84,87405.3,1.150255,100538.3834,102.95,0.10,354.97,0.35,-581.22,-0.58,9019.81,0.90
87,Exit long,2025-12-01 04:35,TP,85877.1,1.176005,100794.3301,197.57,0.20,232.14,0.23,-50.69,-0.05,9217.38,0.92
87,Entry long,2025-12-01 04:30,L85,85709.1,1.176005,100794.3301,197.57,0.20,232.14,0.23,-50.69,-0.05,9217.38,0.92
88,Exit long,2025-12-01 16:05,TP,84482.2,1.191472,100858.1048,-199.93,-0.20,216.85,0.22,-235.08,-0.23,9017.45,0.90
88,Entry long,2025-12-01 16:00,L86,84650,1.191472,100858.1048,-199.93,-0.20,216.85,0.22,-235.08,-0.23,9017.45,0.90
89,Exit long,2025-12-04 18:00,TP,92384.6,1.095029,101076.9804,86.84,0.09,139.29,0.14,-5.8,-0.01,9104.28,0.91
89,Entry long,2025-12-04 17:55,L87,92305.3,1.095029,101076.9804,86.84,0.09,139.29,0.14,-5.8,-0.01,9104.28,0.91
90,Exit long,2025-12-05 15:05,TP,91140.6,1.110511,100589.0869,623.55,0.62,661.09,0.66,-795.24,-0.79,9727.83,0.97
